[ 2271.588777] ID:      Name:               State:
[ 2271.588897]    146     charger_manager         1
[ 2271.588899]    195           scsi_eh_2         1
[ 2271.588900]    197           kpsmoused         1
[ 2271.588901]    198           scsi_eh_3         1
[ 2271.588902]    199           scsi_eh_4         1
[ 2271.588903]    200           scsi_eh_5         1
[ 2271.588904]    201           scsi_eh_6         1
[ 2271.588905]    202           scsi_eh_7         1
[ 2271.588906]    204       kworker/u64:5         1
[ 2271.588907]    212       kworker/u65:1         1
[ 2271.588909]    220         jbd2/sda1-8         1
[ 2271.588910]    221     ext4-rsv-conver         1
[ 2271.588911]    362     upstart-udev-br         0
[ 2271.588912]    367       systemd-udevd         0
[ 2271.588913]    460         dbus-daemon         1
[ 2271.588914]    568      systemd-logind         1
[ 2271.588915]    571          bluetoothd         1
[ 2271.588917]    637            rsyslogd         1
[ 2271.588918]    639            krfcommd         1
[ 2271.588919]    765        ModemManager         1
[ 2271.588920]    804      NetworkManager         1
[ 2271.588921]    820             polkitd         1
[ 2271.588923]    851     upstart-socket-         1
[ 2271.588924]    854            dhclient         1
[ 2271.588925]    860     upstart-file-br         1
[ 2271.588926]    909               getty         1
[ 2271.588927]    913               getty         1
[ 2271.588928]    919               getty         1
[ 2271.588929]    920               getty         1
[ 2271.588930]    923               getty         1
[ 2271.588931]    993          kerneloops         1
[ 2271.588933]    996                cron         1
[ 2271.588934]    998          irqbalance         1
[ 2271.588935]   1002            whoopsie         1
[ 2271.588936]   1046               acpid         1
[ 2271.588937]   1168        cups-browsed         1
[ 2271.588938]   1178           prltoolsd         1
[ 2271.588940]   1184           prltoolsd         1
[ 2271.588941]   1190          prlshprint         1
[ 2271.588942]   1216               getty         1
[ 2271.588943]   1253             lightdm         1
[ 2271.588944]   1271     accounts-daemon         1
[ 2271.588946]   1333                Xorg         1
[ 2271.588947]   1341             lightdm         1
[ 2271.588948]   1342             kauditd         1
[ 2271.588949]   1351                init         1
[ 2271.588950]   1417         dbus-daemon         1
[ 2271.588952]   1426     upstart-event-b         1
[ 2271.588953]   1430     window-stack-br         1
[ 2271.588954]   1434     gnome-keyring-d         1
[ 2271.588955]   1453     upstart-dbus-br         1
[ 2271.588956]   1456     upstart-file-br         1
[ 2271.588957]   1457     upstart-dbus-br         1
[ 2271.588958]   1459         ibus-daemon         1
[ 2271.588959]   1474          bamfdaemon         1
[ 2271.588961]   1476               gvfsd         1
[ 2271.588962]   1479     unity-settings-         1
[ 2271.588963]   1485         hud-service         1
[ 2271.588964]   1489          gvfsd-fuse         1
[ 2271.588965]   1492          ibus-dconf         1
[ 2271.588966]   1493     at-spi-bus-laun         1
[ 2271.588967]   1494        ibus-ui-gtk3         1
[ 2271.588968]   1495       gnome-session         1
[ 2271.588970]   1498            ibus-x11         1
[ 2271.588971]   1501     unity-panel-ser         1
[ 2271.588972]   1508         dbus-daemon         1
[ 2271.588973]   1516             dnsmasq         1
[ 2271.588974]   1531     at-spi2-registr         1
[ 2271.588975]   1581             upowerd         1
[ 2271.588976]   1619     indicator-keybo         1
[ 2271.588978]   1627     indicator-messa         1
[ 2271.588979]   1631     indicator-bluet         1
[ 2271.588980]   1637     indicator-power         1
[ 2271.588981]   1639     indicator-datet         1
[ 2271.588982]   1642     indicator-sound         1
[ 2271.588983]   1653     indicator-print         1
[ 2271.588984]   1661     indicator-sessi         1
[ 2271.588985]   1701     indicator-appli         1
[ 2271.588986]   1705          pulseaudio         1
[ 2271.588987]   1709        rtkit-daemon         1
[ 2271.588989]   1723     gnome-screensav         1
[ 2271.588990]   1762     evolution-sourc         1
[ 2271.588991]   1765     ibus-engine-sim         1
[ 2271.588992]   1805                  sh         1
[ 2271.588993]   1812             initctl         1
[ 2271.588994]   1949          notify-osd         1
[ 2271.588995]   1969     evolution-calen         1
[ 2271.588996]   1975              compiz         1
[ 2271.588997]   1979       dconf-service         1
[ 2271.588998]   2003              colord         1
[ 2271.589000]   2043     polkit-gnome-au         1
[ 2271.589001]   2044     unity-fallback-         1
[ 2271.589002]   2050           nm-applet         1
[ 2271.589003]   2051            nautilus         1
[ 2271.589004]   2052                orca         1
[ 2271.589005]   2053               prlcc         1
[ 2271.589006]   2067        prl_wmouse_d         1
[ 2271.589008]   2074              prldnd         1
[ 2271.589009]   2075               prlcp         1
[ 2271.589010]   2076              prlsga         1
[ 2271.589011]   2106            gconfd-2         1
[ 2271.589012]   2290     gvfs-udisks2-vo         1
[ 2271.589013]   2293             udisksd         1
[ 2271.589014]   2315     gvfs-mtp-volume         1
[ 2271.589015]   2319     gvfs-afc-volume         1
[ 2271.589017]   2324     gvfs-gphoto2-vo         1
[ 2271.589018]   2330            sd_dummy         1
[ 2271.589019]   2333           sd_espeak         1
[ 2271.589020]   2343           sd_cicero         1
[ 2271.589021]   2344           sd_cicero        64
[ 2271.589022]   2347          sd_generic         1
[ 2271.589023]   2350         gvfsd-trash         1
[ 2271.589024]   2354     speech-dispatch         1
[ 2271.589025]   2379          gvfsd-burn         1
[ 2271.589026]   2482     telepathy-indic         1
[ 2271.589028]   2489     mission-control         1
[ 2271.589029]   2526     zeitgeist-datah         1
[ 2271.589030]   2531     zeitgeist-daemo         1
[ 2271.589031]   2537       zeitgeist-fts         1
[ 2271.589032]   2551                 cat         1
[ 2271.589033]   2601               cupsd         1
[ 2271.589034]   2663               gedit         1
[ 2271.589035]   2740     update-notifier         1
[ 2271.589036]   2938     deja-dup-monito         1
[ 2271.589037]   2999      gvfsd-metadata         1
[ 2271.589039]   3167      gnome-terminal         1
[ 2271.589040]   3176     gnome-pty-helpe         1
[ 2271.589041]   3177                bash         1
[ 2271.589042]   3636                bash         1
[ 2271.589043]   3920     unity-scope-hom         1
[ 2271.589044]   3935     unity-files-dae         1
[ 2271.589045]   4691         kworker/1:1         1
[ 2271.589046]   7634         kworker/0:1         1
[ 2271.589048]   8186         kworker/2:2         1
[ 2271.589049]   9108         kworker/1:0         1
[ 2271.589050]   9195       kworker/u64:0         1
[ 2271.589051]   9358         kworker/0:0         1
[ 2271.589052]  10012         kworker/2:0         1
[ 2271.589053]  10196         kworker/1:2         1
[ 2271.589055]  10858         kworker/0:2         1
[ 2271.589056]  11816                sudo         1
[ 2271.589057]  11817              insmod         0
[ 2271.589058]  11818       systemd-udevd         1
[ 2277.559085] ------[Removing Module]-----
